Name,N_sample,Dim,Size (GB),mpts,is_initial_kNNG_connected,is_new_kNNG_connected,Time_myMethod,Time_exact_HDBSCAN,ARI_myMethod,HAI_myMethod,Time_app_HDBSCAN,ARI_APP_HDBSCAN,HAI_APP_HDBSCAN
gamma,4999.0,64.0,0.002559488,20.0,False,True,4.369777679443359,1.095174789428711,1.0,0.9990329072203828,1.7944390773773191,1.0,0.9992478732301916
gamma,4999.0,64.0,0.002559488,20.0,False,True,4.639268636703491,1.1026458740234375,1.0,0.9990299196041696,1.8402838706970213,1.0,0.9992330690534588
gamma,4999.0,64.0,0.002559488,20.0,False,True,4.17046332359314,1.1164665222167969,1.0,0.9990547305197428,1.7996118068695068,1.0,0.9992532932175318
gamma,4999.0,64.0,0.002559488,30.0,False,True,5.596632480621338,1.1046791076660156,1.0,0.9994043358569872,1.801502704620361,1.0,0.9994638572586844
gamma,4999.0,64.0,0.002559488,30.0,False,True,5.577792406082153,1.0929031372070312,1.0,0.9994094046576576,1.8147251605987549,1.0,0.999451191292624
gamma,4999.0,64.0,0.002559488,30.0,False,True,5.665298700332642,1.1138839721679688,1.0,0.9994154260297592,1.8171236515045168,1.0,0.9994564857006348
gamma,4999.0,64.0,0.002559488,30.0,False,True,5.7728705406188965,1.108371019363403,1.0,0.9994301246391616,1.8178865909576416,1.0,0.9994722580421476
gamma,4999.0,64.0,0.002559488,30.0,False,True,5.834065914154053,1.17230224609375,1.0,0.999433628501058,1.80501675605774,1.0,0.9994836932859216
standart,5000.0,2.0,8e-05,10.0,False,True,2.716515302658081,1.2599937915802002,1.0,0.9987431456,0.3073809146881103,1.0,0.998745690176
standart,5000.0,2.0,8e-05,10.0,False,True,2.9516589641571045,1.027007818222046,1.0,0.998598959455994,0.3089616298675537,1.0,0.998612141055993
standart,5000.0,2.0,8e-05,10.0,False,True,3.02639389038086,1.0630297660827637,0.99347878983366,0.9985288943999888,0.3057751655578613,0.9926419702659264,0.9984879023999932
standart,5000.0,2.0,8e-05,10.0,False,True,2.919942140579224,1.0589587688446045,0.999211967288391,0.9991851129279932,0.3037981986999511,0.9990737626360016,0.9991822257919925
standart,5000.0,2.0,8e-05,10.0,False,True,2.969850540161133,1.081763744354248,0.8163407447876901,0.9988890324799904,0.3154129981994629,1.0,0.9988763004159904
standart,5000.0,2.0,8e-05,20.0,False,True,4.1291234493255615,1.0884084701538086,1.0,0.9995567608959997,0.3093519210815429,1.0,0.9995569294719996
standart,5000.0,2.0,8e-05,20.0,False,True,4.170265436172485,1.0864205360412598,0.9998715745784844,0.9994937360959952,0.3092586994171142,0.9996165703590428,0.9994939864639956
standart,5000.0,2.0,8e-05,20.0,False,True,4.077084064483643,1.063004970550537,1.0,0.9994618275199998,0.3077640533447265,1.0,0.999462095647994
standart,5000.0,2.0,8e-05,20.0,False,True,3.952689409255981,1.0835967063903809,0.9997442563338697,0.999392192608002,0.3088562488555908,0.9997441775406034,0.9994128318079906
standart,5000.0,2.0,8e-05,20.0,False,True,4.017664909362793,1.0723111629486084,1.0,0.9995445086399988,0.3065066337585449,1.0,0.9995446567359988
standart,5000.0,2.0,8e-05,30.0,False,True,5.123979330062866,1.0520670413970947,0.9899324024242274,0.9987501247039612,0.3174610137939453,0.990248022315187,0.9992339285120024
standart,5000.0,2.0,8e-05,30.0,False,True,5.108167886734009,1.058079957962036,0.9971503689408062,0.9992503564160178,0.3116819858551025,0.9991753252301342,0.9995963981439971
standart,5000.0,2.0,8e-05,30.0,False,True,5.079770565032959,1.0435247421264648,0.9980390638939904,0.999565677119997,0.3144397735595703,0.9997151191458844,0.9996679490560028
standart,5000.0,2.0,8e-05,30.0,False,True,5.2311060428619385,1.0578222274780271,0.9952344148188498,0.9992173310719854,0.3199479579925537,0.9959778194536208,0.9993219744640024
